Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,4848.000000,4848.000000,4790.000000,4793.950195,4401.939453,623
2010-04-05,4724.700195,4819.750000,4724.700195,4788.049805,4396.521484,659
2010-04-06,4765.000000,4869.899902,4765.000000,4849.049805,4452.533691,26116
2010-04-07,4920.000000,4928.000000,4801.000000,4852.350098,4455.564453,23464
2010-04-08,4880.000000,4880.000000,4839.000000,4851.299805,4454.600098,7232
2010-04-09,4860.000000,4919.700195,4805.000000,4856.100098,4459.006836,3030
2010-04-12,4850.000000,4850.000000,4820.049805,4839.200195,4443.488770,426
2010-04-13,4840.000000,4850.000000,4809.000000,4827.899902,4433.113281,10466
2010-04-15,4830.000000,4919.950195,4830.000000,4899.500000,4498.858398,15828
2010-04-16,4654.549805,5141.000000,4654.549805,4854.250000,4457.308105,43260
2010-04-19,4843.549805,4877.000000,4735.500000,4853.850098,4456.940918,4316
2010-04-20,4879.950195,4917.950195,4855.000000,4886.850098,4487.243164,2557
2010-04-21,4925.000000,4960.000000,4893.049805,4942.450195,4538.296387,3418
2010-04-22,4979.799805,4997.950195,4875.000000,4905.850098,4504.688965,2865
2010-04-23,4949.000000,4949.000000,4900.000000,4909.200195,4507.765137,2050
2010-04-26,4979.799805,4980.000000,4840.049805,4866.549805,4468.602539,13505
2010-04-27,4870.000000,4970.000000,4850.000000,4907.750000,4506.433594,7863
2010-04-28,4899.899902,4937.000000,4861.100098,4921.100098,4518.691895,1891
2010-04-29,4940.000000,4950.000000,4871.000000,4898.299805,4497.756348,714
2010-04-30,4939.899902,4939.899902,4845.000000,4867.399902,4469.382813,1447
2010-05-03,4850.000000,4883.950195,4831.000000,4859.450195,4462.083496,674
2010-05-04,4889.000000,4889.000000,4821.049805,4843.850098,4447.759277,644
2010-05-05,4843.850098,4899.000000,4700.000000,4888.299805,4488.573730,7837
2010-05-06,4795.000000,5015.000000,4731.000000,4994.399902,4585.998047,7035
2010-05-07,4905.000000,5015.000000,4905.000000,4987.950195,4580.075684,3333
2010-05-10,5000.000000,5100.000000,4955.000000,5071.299805,4656.609375,2941
2010-05-11,4984.049805,5100.000000,4984.049805,5018.200195,4607.852051,3046
2010-05-12,5030.000000,5030.000000,4956.500000,4995.100098,4586.640625,4781
2010-05-13,5070.000000,5100.000000,4952.149902,4986.600098,4606.501953,1247
2010-05-14,5077.000000,5078.000000,4930.600098,4958.250000,4580.313477,804
2010-05-17,4878.000000,5040.000000,4700.000000,5000.350098,4619.204102,1756
2010-05-18,5000.350098,5120.049805,5000.000000,5109.600098,4720.126465,4135
2010-05-19,5100.000000,5100.000000,5022.049805,5078.299805,4691.210938,5977
2010-05-20,5055.000000,5069.850098,5020.000000,5051.600098,4666.547363,1439
2010-05-21,5000.000000,5000.000000,4900.000000,4912.200195,4537.773438,1218
2010-05-24,5080.000000,5080.000000,4892.000000,4900.100098,4526.595215,3631
2010-05-25,4900.100098,4930.000000,4880.000000,4909.049805,4534.863281,1017
2010-05-26,4900.049805,4956.950195,4900.049805,4913.350098,4538.835449,1047
2010-05-27,4915.100098,4946.000000,4900.000000,4916.399902,4541.652344,753
2010-05-28,4913.350098,4947.850098,4882.000000,4900.100098,4526.595215,2684
2010-05-31,4950.000000,5080.000000,4891.000000,4900.250000,4526.734375,2166
2010-06-01,4900.250000,4944.700195,4900.250000,4907.600098,4533.523926,335
2010-06-02,4950.000000,4950.000000,4880.149902,4947.250000,4570.150879,3187
2010-06-03,4950.000000,4999.000000,4933.049805,4975.250000,4596.016113,5378
2010-06-04,5018.000000,5038.000000,4922.000000,5018.450195,4635.924316,4212
2010-06-07,5101.000000,5101.000000,5011.000000,5045.299805,4660.727539,2640
2010-06-08,5002.000000,5060.000000,5000.049805,5021.299805,4638.557129,749
2010-06-09,5040.000000,5100.000000,5015.000000,5030.149902,4646.732910,3362
2010-06-10,5059.950195,5074.850098,5030.000000,5067.250000,4681.004883,2654
2010-06-11,5097.500000,5097.500000,5036.399902,5059.299805,4673.660645,1291
2010-06-14,5065.000000,5087.950195,5035.299805,5075.750000,4688.856934,2619
2010-06-15,5080.000000,5274.000000,5060.000000,5193.250000,4797.400391,3199
2010-06-16,5200.000000,5690.000000,5200.000000,5543.600098,5121.044434,38291
2010-06-17,5550.000000,5784.899902,5512.100098,5578.250000,5153.054199,73807
2010-06-18,5630.000000,5630.000000,5321.149902,5361.549805,4952.871582,10759
2010-06-21,5400.000000,5454.000000,5310.000000,5332.899902,4926.404785,3428
2010-06-22,5310.049805,5575.000000,5246.000000,5473.250000,5056.057617,15764
2010-06-23,5430.000000,5615.000000,5430.000000,5524.299805,5103.216309,13420
2010-06-24,5524.000000,5610.000000,5322.000000,5384.250000,4973.841797,13770
2010-06-25,5410.000000,5520.000000,5341.000000,5365.899902,4956.890625,4422
2010-06-28,5447.000000,5479.799805,5342.000000,5384.500000,4974.072266,8844
2010-06-29,5400.000000,5500.000000,5310.000000,5449.299805,5033.932617,9311
2010-06-30,5459.000000,5492.500000,5351.549805,5372.950195,4963.402832,6316
2010-07-01,5375.000000,5429.899902,5360.000000,5372.500000,4962.987305,1634
2010-07-02,5425.000000,5448.000000,5365.000000,5376.149902,4966.358887,2697
2010-07-05,5479.899902,5479.950195,5375.000000,5407.250000,4995.087891,2583
2010-07-06,5429.000000,5645.000000,5421.149902,5621.700195,5193.191895,19127
2010-07-07,5640.000000,5840.000000,5513.000000,5769.500000,5329.726563,51333
2010-07-08,5800.149902,5865.000000,5760.000000,5815.350098,5372.081543,72074
2010-07-09,5816.700195,5905.000000,5705.000000,5742.549805,5304.830078,12887
2010-07-12,5819.000000,5848.000000,5720.000000,5758.899902,5319.934570,10868
2010-07-13,5817.000000,5817.000000,5730.100098,5739.100098,5301.643555,2938
2010-07-14,5680.000000,5799.899902,5680.000000,5763.250000,5323.952148,5689
2010-07-15,5760.000000,5785.000000,5699.899902,5717.100098,5281.320313,2111
2010-07-16,5779.500000,5830.000000,5741.000000,5761.799805,5322.612305,3918
2010-07-19,5770.000000,5799.700195,5706.149902,5763.350098,5324.044922,1415
2010-07-20,5790.000000,5915.000000,5760.000000,5810.850098,5367.925293,14554
2010-07-21,5799.000000,5855.000000,5742.500000,5756.200195,5317.440430,6812
2010-07-22,5745.100098,5800.000000,5745.100098,5779.200195,5338.686523,4375
2010-07-23,5844.000000,5844.000000,5726.000000,5742.600098,5304.877441,1834
2010-07-26,5798.000000,5798.000000,5687.000000,5702.600098,5267.926270,8028
2010-07-27,5750.000000,5750.000000,5611.100098,5618.250000,5190.005371,14309
2010-07-28,5690.000000,5700.000000,5600.000000,5645.399902,5215.084961,1753
2010-07-29,5664.000000,5698.000000,5595.000000,5605.700195,5178.412109,2510
2010-07-30,5591.000000,5748.000000,5591.000000,5653.799805,5222.845703,5666
2010-08-02,5859.000000,6400.000000,5654.049805,5679.100098,5246.217285,3622
2010-08-03,5680.000000,5798.000000,5635.000000,5647.350098,5216.887207,2673
2010-08-04,5675.000000,5719.000000,5620.000000,5690.600098,5256.840820,1802
2010-08-05,5700.149902,6053.950195,5671.049805,5965.899902,5511.155762,33367
2010-08-06,5970.000000,6070.000000,5855.000000,5895.350098,5445.983887,5554
2010-08-09,5969.000000,5969.000000,5875.000000,5890.100098,5441.133789,2492
2010-08-10,5939.899902,5960.000000,5820.000000,5830.049805,5385.661621,1948
2010-08-11,5790.000000,6000.049805,5772.000000,5801.649902,5359.426270,15481
2010-08-12,5760.000000,5892.000000,5705.000000,5728.250000,5291.620117,23199
2010-08-13,5770.000000,5819.000000,5710.000000,5776.450195,5336.146484,12605
2010-08-16,5847.950195,5900.000000,5718.000000,5864.000000,5417.022949,5386
2010-08-17,5863.950195,5938.799805,5800.000000,5881.899902,5433.559570,2591
2010-08-18,5810.000000,5931.000000,5810.000000,5851.500000,5405.476074,4331
2010-08-19,5885.000000,5919.000000,5802.100098,5846.899902,5401.226074,3369
2010-08-20,5800.000000,6144.399902,5800.000000,5962.200195,5507.737793,53532
2010-08-23,5960.000000,6080.000000,5910.000000,5989.399902,5532.864258,13973
2010-08-24,6000.000000,6068.000000,5981.149902,6000.600098,5543.210938,13344
2010-08-25,6048.000000,6048.000000,5940.100098,5963.200195,5508.662598,10948
