Date,sma_10,wma_5,momentum_10,stck,stcd,rsi_14,ema_20,ema_50,macd,exp,cci_14,cci_21,cci_50,trend
2012-12-26,173.1666686,172.92889086666665,-1.3666690000000017,11.553870668706006,16.970474236048396,44.35709760430522,173.8430356139345,176.33775782614018,-0.7512169949940244,-0.9305279708364358,-87.45097615772846,-51.821897701704025,-63.61696162859551,1
2012-12-27,173.12333519999999,172.50000306666666,-0.4333340000000021,24.463602644992285,12.00582443789944,46.533745065543144,173.73100098403597,176.19379367609545,-0.7613430630567848,-0.9079699831324823,-38.01590290946428,-28.510611733368947,-43.512069720312375,1
2012-12-28,173.53333430000004,173.8333344,4.199996999999996,93.68931190498795,43.23559507289542,55.61556699464804,174.06138155698494,176.23325262997406,-0.39896755441014875,-0.8401029926361712,76.7535607022882,48.83454096719067,0.45791909513603946,1
2012-12-31,174.10000150000002,175.62444673333334,6.800003000000004,100.0,72.71763818332676,58.09558436961289,174.4999806467959,176.32868084056332,0.00649123503563942,-0.7272237622799298,158.43614974851906,108.919869719731,34.153389870294944,1
2013-01-01,174.75666800000002,177.03333533333333,7.600006000000008,97.04635779528856,96.91188990009216,57.54469347606368,174.87458572805343,176.41121625858045,0.30547054602553203,-0.5895311878392016,142.90260128353017,101.6523002416109,39.670988141616206,-1
2013-01-02,175.9800018,179.47555653333333,6.633331999999996,100.0,99.01545259842953,64.70221352634496,175.6547838491912,176.67221428765575,0.9058429800372778,-0.390147965455671,185.61417660651946,172.29777461975658,93.20215354758953,1
2013-01-03,176.9900024,182.31778046666668,9.800003000000004,100.0,99.01545259842953,68.9236894040588,176.69083681593492,177.05892509990454,1.6424410411001418,-0.11913609791489599,203.30500741099522,224.9837269188301,151.49507811762845,1
2013-01-04,178.3033356,185.3466695333333,15.766662999999994,100.0,100.0,72.34814102070271,177.9456779763221,177.56118956657497,2.4667370941710374,0.22564699436322844,197.90955290161756,246.6591059834384,202.86716895302524,1
2013-01-07,180.09333499999997,188.24222413333334,21.233337000000006,100.0,100.0,74.3000460087652,179.28418483571997,178.1274174267093,3.254622376842889,0.6295103786938498,178.00583424394813,232.52855409773892,235.9658614609846,1
2013-01-08,182.3566681,190.71555486666668,21.666656999999987,100.0,100.0,75.5212177962906,180.62854761327046,178.7263419982109,3.94650213532546,1.0717759462447312,138.1489707550042,188.63656823852756,231.31676422219996,1
2013-01-09,184.6633347,192.65777793333334,22.133331,100.0,100.0,76.7128705224969,181.97821003105423,179.35668164533988,4.555280417494714,1.5362432090780622,126.08989262299247,172.07329040730824,246.3239683239537,1
2013-01-10,187.5466675,196.0511108666667,24.300003000000004,100.0,100.0,81.3835944478924,183.8374281233348,180.22504707101282,5.51480412668721,2.0667179980926154,141.9026651747895,184.26416241214932,301.89291736687994,1
2013-01-11,189.31666719999998,196.24666446666666,16.233321999999987,78.52492880939025,92.84164293646343,67.10521503780718,184.89100582587434,180.80053518587508,5.677224740707658,2.5481188971079543,98.1741351233835,131.83436685088068,244.12091855432683,-1
2013-01-14,191.8,198.97333173333334,25.066665999999998,100.0,92.84164293646343,73.603845231681,186.6632909853149,181.69071027662505,6.425820005359526,3.065145711541497,109.2403661111365,137.15149076036008,261.7032991783915,1
2013-01-15,194.4600006,201.44444566666667,21.966674000000012,100.0,92.84164293646343,74.56854114875037,188.41281946290397,182.60610752067896,7.061415269626821,3.5979816526195405,122.02238846108584,141.11480654317927,269.93471987820146,1
2013-01-16,196.40666800000002,202.30666986666668,16.0,91.01796719136469,97.00598906378825,70.07198110122383,189.7576309426274,183.38756761790725,7.279486598957334,4.088848978797913,105.09615503720802,120.30057949289738,234.01239563136534,-1
2013-01-17,198.7166671,205.02000193333333,19.766661999999997,100.0,97.00598906378825,74.73209434346026,191.65055475761528,184.4168132407344,7.933764140752345,4.601504333725171,125.676840536614,131.65317620441695,240.15547766012023,1
