Date,sma_10,wma_5,momentum_10,stck,stcd,rsi_14,ema_20,ema_50,macd,exp,cci_14,cci_21,cci_50,trend
2015-08-21,8432.3499023,8392.4401042,-225.64941400000134,0.0,23.550705479633802,40.21838231415518,8450.360322609788,8433.31091712796,-14.202640773950407,13.785670718852813,-199.65880244207312,-176.44104851707957,-87.07003976652345,-1
2015-08-24,8360.6899414,8187.9934244666665,-653.3496090000008,0.0,3.246904390775171,24.521335992312373,8389.27838712314,8408.828136064118,-63.18678900410123,3.522676089125609,-314.3804371417786,-377.9932372604456,-327.6024268232867,-1
2015-08-25,8302.525,8052.000130066666,-468.7499999999991,9.196454696576998,3.0654848988589802,28.886617553373213,8340.842368825699,8388.117236414544,-95.12493187383188,-9.630338305935389,-225.63480329460825,-293.9325619211182,-344.8205628532391,1
2015-08-26,8246.764990300002,7925.446777333334,-563.9995110000009,0.0,3.0654848988589802,26.81686549529759,8288.557390651822,8364.73421137868,-126.15140559941574,-25.16648061173277,-155.43270552100884,-221.71047982596286,-320.4562176513099,-1
2015-08-27,8206.075048900002,7898.1468098000005,-569.5996100000002,21.41058966920392,10.202348121926953,35.602869158236004,8256.213848208792,8348.428955834419,-136.49007208413968,-40.009626141387024,-99.73625479207871,-148.1362084225869,-255.5813044470396,1
2015-08-28,8154.415087900001,7916.766829266667,-475.3496100000002,28.911542825212706,16.77404416480552,38.29433878627352,8231.998262188907,8334.841553448756,-138.80680426352137,-53.18258322433827,-59.874272870724084,-98.86551960530277,-196.27489498126067,1
2015-08-31,8103.8150879,7945.036718733333,-495.2500000000009,24.693791021440386,25.005307838618986,37.32283955404953,8207.169837694724,8320.585014293903,-141.4851092557583,-64.95625336186095,-57.353839502779856,-93.37599251414231,-196.35278608264602,-1
2015-09-01,8035.7451172,7900.670052199999,-709.3002929999993,0.0,17.868444615551013,32.02842127983206,8167.044148199989,8299.615017576496,-156.76483926100627,-77.19739814841365,-86.35472385212019,-120.31845614526293,-247.65971760675842,-1
2015-09-02,7957.9300781,7839.6766928,-655.75,0.0,8.231263673813444,30.30938969172705,8124.182800752371,8276.767369828398,-172.4419593134262,-89.89667297041532,-88.20877459464558,-116.61729030987085,-242.9896410032024,-1
2015-09-03,7902.9550781,7819.006673266667,-476.95019499999944,13.622045458819299,4.540681819606415,36.00427851826516,8095.49872449024,8258.972571011598,-174.30361223981345,-101.1509315396684,-69.00098019091568,-92.85811515410069,-200.98193961430283,1
2015-09-04,7838.4650391000005,7750.749935066667,-153.95019500000035,0.0,4.540681819606415,31.598374293820555,8053.551208348313,8235.289325285654,-187.1735426267005,-112.62061301793935,-93.18077266125775,-105.75903175784038,-215.0579280159432,-1
2015-09-07,7813.445019600001,7673.5365562,-321.9003900000007,0.0,4.540681819606415,29.3795116366896,8006.432027077044,8208.760324490138,-202.80185227310267,-124.64477825196113,-114.62383476986992,-114.04143870896917,-218.74711439991356,-1
