Date,sma_10,wma_5,momentum_10,stck,stcd,rsi_14,ema_20,ema_50,macd,exp,cci_14,cci_21,cci_50,trend
2016-01-15,18286.0697266,17994.463020799998,-948.1503909999992,0.0,1.3530899979118018,36.94442192579192,18349.60698563861,18923.586945567266,-205.99289060920273,-187.4047492304962,-104.0640054508968,-116.18829162653232,-119.43492741276019,-1
2016-01-18,18188.9046875,17931.793098933336,-788.6992189999983,0.0,1.3530899979118018,36.563584649844984,18301.453939387313,18881.250202603846,-221.8522855934607,-191.9977540788915,-101.61592821281957,-122.53892472067564,-133.3985644157292,-1
2016-01-19,18126.7248047,17942.383333466667,-710.8496090000008,12.316466619244602,4.105488873081525,41.199601632382425,18273.782172874235,18847.11883744291,-218.43551502450646,-195.52278887164016,-76.00317655141025,-95.43553024892027,-122.88046086078427,1
2016-01-20,18044.4298828,17923.670312533333,-408.14843799999653,4.044040794937732,5.453502471394103,39.131081888869325,18238.0696593624,18809.92989405299,-222.21168343886166,-199.0813081472697,-72.75141739098859,-92.65419455395953,-128.47066226907344,-1
2016-01-21,17961.2949218,17770.760156133332,-748.0,0.0,5.453502471394103,32.49755131207387,18165.453464089795,18757.60321620778,-256.39753072146414,-206.7234711571623,-118.61105856580939,-140.50976208977153,-179.33165470871614,-1
2016-01-22,17869.325,17598.940234399997,-804.5,0.0,1.348013598312568,30.256519665272265,18083.400790462198,18700.595262278064,-293.9562087380764,-218.3545028346175,-160.49386369493598,-160.85398145670248,-212.45765724667166,-1
2016-01-25,17807.0699218,17525.343359266666,-646.0,12.832758625812865,4.277586208604279,35.34476024674001,18026.491154132465,18652.95817783579,-305.5181275859795,-229.97631946813243,-148.16057456746807,-138.61688288876596,-200.011344619008,1
2016-01-27,17722.265038999998,17408.273567533335,-718.048827999999,0.0,4.277586208604279,32.50846576044364,17955.75873764366,18599.265730901054,-327.2127781752388,-242.94118062907995,-140.21296255572204,-130.00632328702807,-197.14496445870796,-1
2016-01-28,17617.6851562,17230.427083133338,-1094.3984379999965,0.0,4.277586208604279,28.51160519762719,17860.54845605855,18534.82592894415,-366.6263901391867,-259.4325418970942,-164.38870571074182,-158.32056323246346,-235.99338701262752,-1
2016-01-29,17562.2351562,17295.396744733334,-371.55078100000173,45.91758599711727,15.305861999039081,41.31206104515419,17825.824719195833,18494.085665809085,-350.25910086718795,-271.5427497597734,-79.05187483383672,-101.61386652838996,-171.97671043286965,1
2016-02-01,17494.3251953,17256.493489666667,-655.5996090000008,19.761000306082774,21.892862101066672,37.22330236396412,17765.11764032004,18442.882321698926,-357.9779790174216,-283.0674469941265,-69.30404383923445,-94.92826104325192,-164.19511913318365,-1
2016-02-02,17411.2052734,17166.75703126667,-998.0996099999975,5.185497167166112,23.62136115678871,35.08796290197101,17693.468415622894,18386.80069265191,-373.9539580921919,-295.1856484738686,-116.1391271976746,-128.6601645462224,-200.68418151144795,-1
2016-02-03,17284.5601562,17019.10664073333,-1154.3515620000035,0.0,8.315499157749619,32.061081162225065,17603.08563499214,18322.3947525087,-403.61612945741217,-309.64304593834106,-156.76304966847965,-155.46779500130356,-232.06064705243247,-1
2016-02-04,17192.565039,16985.546484333336,-496.75,18.508442740025536,7.897979969063873,37.16037207387159,17543.634584897653,18269.70670766522,-403.5575017867741,-322.1649733847988,-113.27263593945942,-119.4340588020125,-192.45364170898134,1
2016-02-05,17053.915039,16653.88307273333,-1214.8007819999984,0.0,6.169480913341836,28.43569509755332,17405.107444335972,18184.192703795998,-469.8898305144903,-341.86162100209106,-163.42506876588058,-161.14841299263801,-228.26652649453078,-1
2016-02-08,16963.0499999,16518.059765466667,-1090.5996090000008,15.930391634110569,11.47961145804536,34.163491821172244,17308.930544875402,18114.03808796086,-492.0824804576914,-361.8910689295044,-154.57315207329208,-166.44355839898995,-227.60731869439783,1
2016-02-09,16849.8999999,16421.479687266667,-929.451172000001,14.65711599815441,10.19583587742165,33.774573557359645,17218.01807479203,18045.030696629063,-507.12481595783174,-381.2555685332814,-140.21639972721763,-159.62632517247863,-215.74485508611647,-1
2016-02-10,16759.8999023,16378.613085866667,-572.2509760000012,20.947526580328677,17.17834473753121,34.35406805471048,17138.568715764217,17979.884387153415,-510.7816179826368,-398.52570845986213,-115.38030188172905,-136.0223090807943,-196.06853089275805,1
2016-02-11,16689.294824200002,16315.189843733335,-1245.9492189999983,11.436928997691481,15.680523858724847,32.94364880462179,17053.94312378667,17912.045783735633,-518.4992493925856,-414.5221805842252,-104.90706097083793,-124.93520229016717,-186.7325248670237,-1
2016-02-12,16534.5298828,16199.789843866665,-1240.1005859999987,0.0,10.79481852600671,29.957068721226065,16948.643760092702,17835.03613751071,-542.7042553759638,-431.61312388979036,-117.86140192843875,-135.0577002782833,-192.7415843538367,-1
2016-02-15,16460.4048828,16260.060026266665,-565.6503900000025,32.23279002902135,14.556573008904268,39.69246476270809,16900.882486845778,17780.609245490683,-515.6892787831566,-442.82327787557256,-54.42685260143489,-83.18271678407505,-144.91308671651348,1
2016-02-16,16379.934765599999,16237.186588600001,-536.3496099999975,16.786734879996576,16.3398416363393,37.03592185378733,16834.90316514618,17718.94220092242,-507.71647598499476,-451.4757042901622,-61.77369217806816,-85.89780974403263,-143.68123022520408,-1
2016-02-17,16319.574804599999,16201.646484266668,-838.0,12.44143552526816,20.486986811428686,36.299882907962946,16768.80282646559,17657.056216925466,-501.04870768461114,-458.08543807608874,-85.13893183716802,-99.46983161412179,-150.46554098794527,-1
2016-02-18,16259.7298828,16262.153320333333,291.30078199999843,34.8439949854196,21.357388463561435,40.81220202546834,16731.812118326012,17606.991282575447,-471.0052518175362,-459.80807990828174,-37.526633440552565,-64.29099187733254,-121.83722791987597,1
2016-02-19,16331.2199219,16455.166666666668,408.75,80.38510196725254,42.55684415931342,47.847426514602724,16738.687154675914,17575.501428356805,-408.30792867589844,-452.94139307729733,51.91038440176616,-17.419114108793103,-89.74817690072199,1
2016-02-22,16423.1648438,16761.366406333334,960.3496099999975,100.0,71.74303231755736,54.819905844060486,16793.545446516302,17565.27389073497,-313.793473659789,-434.3883371549629,197.46400648227765,72.36716829001254,-37.823723758971305,1
2016-02-23,16472.5398438,16854.196354133335,464.2998040000002,65.85188743355256,82.07899646693504,48.446938529551716,16798.74108103856,17537.149409098307,-273.38931427497664,-412.92180077096475,127.01783048771706,45.01865604041967,-53.97662465653415,-1
2016-02-24,16486.179785199998,16795.059505266665,270.19921899999827,41.854483260192524,69.23545689791501,44.5292406613033,16772.213284653935,17497.26900948661,-264.7753821726292,-393.16894495785334,53.736606103667036,-4.0174457993104555,-79.89621933743734,-1
2016-02-25,16494.689746099997,16648.9328124,386.7998040000002,28.307960325281645,45.33811033967557,42.4427503381884,16730.583410782132,17451.69373887929,-269.7749725520116,-376.71641530374114,-16.948689456208843,-47.426023993052375,-99.0868048021236,-1
2016-02-26,16570.9748047,16631.17643233333,264.0,55.82925301225282,41.99723219924232,47.794692590536684,16728.732646993358,17422.65282327618,-240.6193188999423,-358.57013578323466,43.124866828802155,3.670043692679721,-74.72426289100731,1
2016-02-29,16599.9097656,16628.059895866667,528.4003909999992,57.684465239385766,47.2738928589734,48.144729420814784,16729.472394898752,17395.74486942221,-213.01227878051577,-339.1624215162055,64.99430514588859,39.547171653599534,-60.85738193181888,1
2016-03-01,16681.5947266,16759.639713666667,884.0996099999975,78.79463376292107,64.1027840048532,52.08187678777185,16757.613044813155,17381.203863523304,-165.94514692876328,-316.0667849045465,92.87518790978305,91.02528742394645,-42.843787211471316,1
2016-03-02,16755.0947266,16829.729687466668,495.44921800000157,67.8827723794678,68.12062379392488,49.96990033104306,16768.873669973807,17361.38604962043,-139.07206212264646,-292.4674885336265,80.66224549316031,93.95772110615094,-41.2906948219844,-1
2016-03-03,16845.8396484,17013.442968599997,483.8496090000008,97.71268740294614,81.46336451511166,55.35706861971125,16818.299949881064,17358.502267635315,-83.56668727884971,-264.61404836632295,113.248799726672,130.65768093094186,-21.433760539325526,1
